Stress Level,HRNmean,HRstd,HRNSD,HRNFD,avNN,sdNN,rMSSD,PHRNN50,PHRNN20,HRV_HTI,HRV_ShanEn,HRV_MFDFA_alpha1_Asymmetry,BRNmean,BRstd,BRNFD,BRNSD,BRV,BRavNN,BRavNN.1,RSP_Phase_Duration_Inspiration,RSP_Phase_Duration_Expiration,RSP_Phase_Duration_Ratio,RSP_Symmetry_RiseDecay,RSP_Symmetry_PeakTrough
1,68.61312461,0.160207888,0.215954274,0.252942773,88.39071017,13.08348064,14.79144562,1.633203844,12.66669393,3.296736842,4.821986861,-0.1883976,15.6036659,5.472385852,0.013759187,0.000236998,392.0663736,14.70145865,83.87548507,0.203411311,0.189274286,1.07410023,0.509896199,0.536965549
1,68.73336616,0.160364711,0.221047698,0.262160506,87.5181797,8.636616086,9.747707309,0.171428571,5.039948288,2.394466667,4.426164674,-0.321948949,15.30348167,4.783361773,0.013065481,0.000231951,401.4788811,12.93626029,106.0423166,0.230706667,0.179019301,1.287744773,0.535125872,0.51968515
1,70.84802911,0.171969475,0.21424256,0.257237265,85.19049389,13.14031137,14.49003761,2.047484909,11.51241137,3.026285714,4.837940156,-0.43273921,16.05891252,3.523399431,0.013971336,0.000246859,370.7938461,9.281574826,48.90085271,0.196725715,0.171504615,1.1470046,0.541378101,0.530094869
1,71.94375058,0.158177307,0.228610956,0.268273432,83.7115438,9.909898375,10.32104531,0,6.091962593,3.02659391,4.586243413,-0.436539503,16.26491141,4.419211446,0.014232988,0.000261056,374.1056277,11.3230009,77.98012163,0.198231385,0.17349645,1.144278784,0.528639937,0.53784746
0,77.79919056,0.140024262,0.264008642,0.289496903,77.60804157,9.013741102,10.30213697,0.406504065,5.091900557,2.683481789,4.645466632,-0.31673338,16.00031677,5.146734676,0.014917329,0.000279545,381.6174603,14.45521546,78.72127812,0.181950505,0.199798413,0.931741575,0.475864401,0.494584692
1,90.16993689,0.11021085,0.325478874,0.341673171,66.63398537,5.479379327,7.181148272,0,0.275862069,1.917174577,4.143496976,-0.10380085,12.3475982,5.622388673,0.009677582,0.000157353,509.5922051,13.61522577,143.9234958,0.212139013,0.291163487,0.781532335,0.445566124,0.543020795
1,92.57712959,0.118121129,0.316106286,0.338200975,65.00113345,7.238486408,8.765894485,0,4.254239449,2.223531092,4.267864091,-0.204795822,11.7476691,7.42785824,0.009822111,0.000154052,540.9851429,18.39748869,198.0760281,0.255220243,0.274367619,0.942628412,0.498771809,0.540615862
1,96.99034943,0.122317371,0.305370305,0.335319662,62.00476218,6.44080772,8.324603976,0,2.989907759,1.932923077,4.208818971,-0.215677263,12.92635528,4.251787378,0.012059986,0.000221122,480.1504273,11.69989999,182.515743,0.251268416,0.223244581,1.139593492,0.537640199,0.479852739
1,96.53685128,0.117831473,0.287218549,0.323682486,62.24429428,5.627268388,7.364382946,0,1.427306169,1.796912129,4.105157229,-0.263384062,16.64027424,4.513708689,0.011391106,0.000208375,374.2364545,9.92727412,98.86597092,0.182089251,0.189515182,0.981812773,0.493093067,0.518642354
0,94.94016089,0.104096639,0.293979168,0.328776276,63.29032258,7.202929122,8.099919484,0,2.150537634,2.513513514,4.455871747,-0.3524107,17.0604923,7.077318917,0.009592205,0.000184243,358.5714286,12.42781847,108.7146642,0.1924,0.160928571,1.195561474,0.535870421,0.564526845
